CÓDIGO;NOMBRE DEL ALIMENTO;"Energía
<ENERC>";"Energía
<ENERC>";"Agua
<WATER>";"Proteínas
<PROCNT>";"Grasa total
<FAT>";"Carbohidratos totales
<CHOCDF>";"Carbohidratos disponibles
<CHOAVL>";"Fibra dietaria
<FIBTG>";"Cenizas
<ASH>";"Calcio
<CA>";"Fósforo
<P>";"Zinc
<ZN>";"Hierro
<FE>";"Sodio
<NA>";"Potasio
<K>";"B caroteno equivalentes totales
<CARTBQ>";"Vitamina A equivalentes totales
<VITA>";"Tiamina
<THIA>";"Riboflavina
<RIBF>";"Niacina
<NIA>";"Vitamina C
<VITC>";Ácido fólico
;;kcal;kJ;g;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;µg;µg;mg;mg;mg;mg;µg
A;Quinua, afrecho de;351;1467;14.1;10.7;4.5;65.9;0;0;4.8;573;342;0;4;0;0;0;0;0.21;0.22;1;0;0
A;Quinua blanca, (Junín);334;1396;12.8;12.5;6.5;66;56;10;2.2;85;155;3.54;3.03;30;776;0;0;0.4;0.77;0;0;0
A;Quinua blanca (Puno);355;1484;11.1;13.3;6.1;67.1;61.2;5.9;2.4;120;165;2.5;4.31;30;776;330;0;0.4;0.24;1.8;0;0
A;Quinua cocida;89;372;79;2.8;1.3;16.3;0;0;0.6;27;61;0;1.6;24;472;0;0;0.01;0;0.26;0;0
A;Quinua;351;1470;11.5;13.6;5.8;66.6;60.7;5.9;2.5;56;242;3.3;7.5;30;776;0;0;0.48;0.03;1.4;0.5;0
A;Quinua dulce, blanca (Junín);361;1510;11.1;11.1;7.7;67.4;61.5;5.9;2.7;93;355;3.3;4.3;30;776;0;0;0.59;0.3;1.23;2.2;0
A;Quinua dulce, blanca (Puno);349;1459;11.2;11.6;5.3;68.9;63;5.9;3;115;226;3.3;5.3;30;776;0;0;0.73;0.21;1.09;1.1;0
A;Quinua dulce, rosada (Junín);360;1506;11;12.3;7.2;67.1;61.2;5.9;2.4;80;344;3.3;4.3;30;776;0;0;1;0.3;1.23;1.1;0
A;Quinua, harina de;337;1408;11.7;12.4;6;67.2;57.9;9.3;2.8;104;330;5.19;9.65;2;913;0;0;0.19;0.24;0.68;0;0
A;Quinua, hojuela de;376;1572;13.4;13.9;7.4;63.1;0;0;2.6;114;60;3.72;5.46;0;0;0;0;0.13;0.38;1.1;0;0
A;Quinua rosada (Puno);356;1490;10.2;12.5;6.4;67.6;61.7;5.9;3.3;124;205;3.3;5.2;30;776;0;0;0.24;0.25;1.6;0;0
A;Quinua, sémola de;362;1516;12.6;19.5;10.7;53.8;47.9;5.9;3.4;76;0;3.3;3.6;0;0;0;0;0.21;0.25;1.84;0;0
A;Sorgo;309;1292;12.2;8;4;72.8;66.5;6.3;3;50;370;0;4.3;0;0;0;0;0.25;0.23;3.85;0.9;0
A;Trigo, harina fortificada con hierro de;362;1517;10.8;10.5;2;76.3;73.6;2.7;0.4;36;108;0.7;5.5;0;0;0;0;0.5;0.4;4.8;1.8;0
A;Trigo, llunka de;312;1307;16.1;9.1;1;71.8;0;0;2;60;250;0;1.6;0;0;0;0;0.33;0.26;1.95;2;0
A;Trigo, harina tostada de (machica);330;1382;9;7.9;1.2;79.9;77.2;2.7;2;67;300;0.7;0.9;0;0;0;0;0.1;0.48;2.11;2.7;0
A;Trigo, mote de, sancochado;154;644;59;2.5;0.6;37;0;0;0.9;38;118;0;2.5;26;226;0;0;0.01;0.07;1.57;0.4;0
A;Trigo para mote pelado cocido;63;265;82.9;1.9;0.1;14.7;0;0;0.4;29;45;0;0.4;26;226;0;0;0;0;0.73;0;0
A;Trigo para mote pelado crudo;325;1359;12.5;9.8;0.9;74.6;0;0;2.2;80;274;0;2.5;0;0;0;0;0.18;0.23;4;0.9;0
A;Trigo, pelado;330;1379;12.6;8.4;1.4;76.1;0;0;1.5;51;293;0;4.6;30;515;0;0;0.22;0.15;3.85;0;0
A;Trigo resbalado cocido;83;347;77.9;2.8;0.3;18.6;0;0;0.4;5;66;0;0.5;26;226;0;0;0.06;0.02;0.9;0.7;0
A;Trigo resbalado crudo;327;1370;13.5;11.4;1.8;71.8;0;0;1.5;17;299;0;4.8;30;515;0;0;0.3;0.17;5;4.5;0
A;Trigo, sémola de;319;1334;12.1;7.8;1.1;78.4;74.5;3.9;0.6;40;125;1.05;0.8;0;0;0;0;0.14;0.08;1.21;0;0
A;Trigo;289;1210;11.6;10.3;1.9;74.7;62.5;12.2;1.5;36;314;2.98;3.87;30;515;169;28;0.42;0.17;3.89;4.8;0
A;Barra de cereales (avena y arrocillo) con maní y pasas;391;1637;8.8;5.8;9.4;74.9;70.9;4;1.2;0;0;0;10.01;223;188;0;0;0;0;0;0;0
A;Barra de cereales con sabor a chocolate y chocochips;386;1615;6.7;4.9;8.5;78.6;72.4;6.2;1.3;0;0;0;12.12;224;120;0;0;0;0;0;0;0
A;Barra de cereales (avena, arroz) con aguaymanto;371;1551;8.5;5.3;7.3;77.6;71;6.6;1.3;0;0;0;11.2;209;295;0;0;0;0;0;0;0
A;"Barra de cereales (maíz, trigo, arroz)
sabor a miel con leche, vitaminas y minerales";397;1660;6.4;4.4;8.5;79;75.5;3.4;1.6;0;0;0;10.82;110;69;0;0;0;0;0;0;0
A;Bollito de maíz de Huánuco;426;1781;13.1;9.6;17.5;57.5;0;0;2.4;0;0;0;2.95;0;0;0;0;0.39;0.33;2.48;0;195
A;Bollito de yema de Huánuco;384;1606;18;9.9;12.6;57.5;0;0;1.9;0;0;0;4.23;0;0;0;0;0.72;0.27;3.3;0;165
A;Cañihua, harina de;327;1367;10.2;15.2;8.3;63;48.2;14.9;3.3;182;350;5.68;15.2;11;1500;0;0;0;0;0;0;0
A;Cañihua, variedad roja;381;1594;10.7;15.4;7.5;62.7;0;0;3.7;0;0;0;0;0;0;0;0;0;0;0;0;0
A;Cañihua, variedad blanca;382;1597;10.7;15.4;7.7;62.5;0;0;3.7;0;0;0;0;0;0;0;0;0;0;0;0;0
A;Galleta de soda (San Jorge);440;1843;3.9;9.3;13.3;70.8;0;0;2.7;68;0;0.83;7.7;0;0;0;0;0;0;0;0;0
A;Galleta de vainilla (Field);462;1933;2.7;7.3;15.6;73.1;0;0;1.3;0;0;0;4.4;0;0;0;0;0;0;0;0;0
A;Galleta dulce con avena y base sabor a chocolate (con fibra);461;1929;2.9;6.7;19.8;69;64.1;4.9;1.6;0;0;0;2.8;253;255;0;0;0;0;0;0;0
A;Galleta dulce con avena y base sabor a frutos rojos;465;1946;2.7;6.7;20.8;68;62.8;5.1;1.9;0;0;0;2.81;330;188;0;0;0;0;0;0;0
A;Galleta dulce con avena y granola (con fibra);444;1859;3.2;8;16.9;70.2;65.2;5;1.7;0;0;0;2.56;301;207;0;0;0;0;0;0;0
A;Galleta dulce con avena, manzana y canela (con fibra);426;1784;3.4;7.2;14.3;73.6;67.4;6.2;1.7;0;0;0;2.01;302;196;0;0;0;0;0;0;0
A;Galleta dulce con avena y uvas pasas (con fibra);433;1812;3.3;7.2;14.9;73;67.6;5.4;1.7;0;0;0;3.44;323;200;0;0;0;0;0;0;0
A;Galleta dulce con relleno (Casino);499;2087;1.9;4.7;22;70.5;0;0;0.9;27;0;0.4;5.2;0;0;0;0;0;0;0;0;0
A;"Galleta dulce con relleno ""chocolate"" (Coronita)";492;2058;2.5;5.7;21.1;69.8;0;0;0.9;21;0;0.98;3.7;0;0;0;0;0;0;0;0;0
A;Galletas nutritivas  de maca;443;1854;3;7;16.1;72.2;67.6;4.6;1.7;0;0;0;3.39;388;188;0;0;0;0;0;0;0
A;Hiwicto marfil oscuro;368;1481;10.6;9;2;76.8;0;0;1.6;44;318;0;3;0;0;0;0;0.42;0.1;0;0.6;0
A;Hiwicto negro;365;1469;12;9;2.7;74.6;0;0;1.7;38;318;0;3.5;0;0;0;0;0.35;0.19;0;0;0
A;Kara ceniza o kala;367;1481;10.3;11.6;2.3;73.6;0;0;2.2;104;284;0;5.8;0;0;0;0;0;0;0;0;0
A;Kara color pajizo;366;1469;11.1;7.2;2.5;76.9;0;0;2.3;60;303;0;8;0;0;0;0;0.38;0.1;0;1.1;0
A;Kiwicha, harina de;352;1474;10.9;12.2;7.9;66.4;58;8.4;2.6;214;360;3.76;5.3;2;663;0;0;0;0;0;0;0
A;Kiwicha pop de Huánuco (listo para consumo);370;1548;8.6;13.1;8.9;66.5;59.5;7.1;2.9;0;0;0;0.4;0;0;0;0;0;0;0;0;0
A;Kiwicha, precocida, hojuela de;400;1675;8.4;13.4;8.1;68;0;0;2;0;0;2.77;7.21;0;0;0;0;0;0;0;0;0
A;Kiwicha, precocida, hojuela de (orgánica);352;1473;10.8;11.9;7.6;67.7;58.9;8.7;2.1;0;0;2.8;5.02;0;0;0;0;0;0.09;0.97;3.2;0
A;Llipta sara, variedad de maíz;370;1550;11.3;7.4;4.2;75.9;0;0;1.4;5;244;0;1.4;0;0;0;0;0.31;0.12;0;0.85;0
A;Maíz blanco, harina;343;1435;11.6;5.5;5;76.6;71;5.6;1.3;19;272;1.73;2.35;2;6;0;11;0.25;0.08;1.9;0;0
A;Maíz blanco precocido, harina de (chochoca);328;1371;12.1;6.8;5.2;74.8;65.9;8.9;1.2;0;0;1.76;2.08;0;0;0;0;0;0;0;0;0
A;Maíz morado, harina de (api);318;1331;11.4;8.5;4.2;74.3;64.5;9.8;1.7;29;300;2.6;6.47;16;63;0;0;0;0;0;0;0
A;Pan árabe;290;1213;27.8;10.3;3.5;56.7;54.3;2.4;1.7;0;0;0;6.98;0;0;0;0;0;0.32;6.47;0;106
A;Pan cachanga;445;1862;17.4;7.7;26.1;47.4;0;0;1.4;0;0;0;3.99;0;0;0;0;0;0.27;0;0;0
A;Pan campesino de Lima;276;1153;36.1;10;5.7;46;0;0;2.2;0;0;0;3.53;0;0;0;0;0.48;0.21;2.46;0;142
A;Pan ciabatta;265;1108;32.1;9.2;2;55;52.6;2.5;1.7;0;0;0;5.59;0;0;0;0;0;0.71;4.94;0;122
A;Pan chapla;321;1343;22.2;9.3;3.5;63.2;0;0;1.9;0;0;0;4.67;0;0;0;0;0;0.37;0;0;0
A;Pan chuta;387;1620;16.3;9.5;11.1;62.3;0;0;0.8;0;0;0;4.71;0;0;0;0;0;0.39;0;0;0
A;Pan cortadillo de Cajamarca;361;1509;17.8;6.9;7.1;67.2;0;0;1;0;0;0;4.37;0;0;0;0;0.63;0.29;5.49;0;65
A;Pan cuay de trigo de Carhuaz;358;1500;23.8;10;11.6;53.4;0;0;1.2;0;0;0;5.62;0;0;0;0;0;0;0;0;0
A;Pan cuay de trigo de Huaraz;297;1241;31.6;7.6;10.1;48.9;43.8;5.1;1.8;0;0;0;4.45;0;0;0;0;0.33;0.34;3.01;0;0
A;Pan de calabaza de Huancavelica;274;1148;35.3;11.5;3.9;48.4;0;0;0.9;0;0;0;4.79;0;0;0;0;0.61;0.25;3.35;0;322
A;Pan de chicharrón de Chiclayo;338;1414;25.5;9.9;9;54.3;0;0;1.2;0;0;0;7.61;0;0;0;0;0.84;0.2;4.63;0;288
A;Pan de girasol de Lima;267;1115;40.9;10.7;7.7;38.7;0;0;2.1;0;0;0;3.02;0;0;0;0;0.45;0.18;2.14;0;139
A;Pan de hamburguesa de Iquitos;316;1323;24.4;10.8;4.7;57.7;0;0;2.4;0;0;0;6.15;0;0;0;0;0.88;0.46;4.71;0;191
A;Pan de huevo;336;1408;23.2;9.3;6.9;59.4;0;0;1.3;0;0;0;5.79;0;0;0;0;0;0.35;0;0;0
A;Pan de maíz;319;1336;25.4;7.7;8.7;56.7;52.6;4.1;1.6;0;0;0;3.49;0;0;0;0;0;0.24;3.81;0;103
A;Pan de maíz de Carhuaz;323;1352;27.9;9.2;8;53.5;0;0;1.4;0;0;0;5.15;0;0;0;0;0;0;0;0;0
A;Pan de maíz de Huaraz;359;1501;22;8;15.2;53;47.5;5.5;1.9;0;0;0;3.5;0;0;0;0;0.25;0.29;2.96;0;0
A;Pan de quinua de Lima;241;1009;39.8;9.5;1.7;47;0;0;2.1;0;0;0;3.31;0;0;0;0;0.48;0.21;2.54;0;115
A;Pan de trigo artesanal de Carhuaz;286;1197;32.5;8.8;4.6;52.4;0;0;1.7;0;0;0;5.11;0;0;0;0;0;0;0;0;0
A;Pan de yema;321;1342;25.6;9.4;8.1;55.4;52.5;2.9;1.5;0;0;0;4.47;0;0;0;0;0;0.29;4.01;0;70
A;Pan de yema de Cajamarca;365;1526;23.7;9.2;12.9;52.9;0;0;1.3;0;0;0;6.74;0;0;0;0;1.37;0.5;4.82;0;30
A;Pan dulce de Lima;290;1215;32.6;11.9;5;49.5;0;0;1.1;0;0;0;3.3;0;0;0;0;0.56;0.42;2.82;0;133
A;Pan huaro;338;1413;21.1;9.9;5.5;62.2;0;0;1.3;0;0;0;5.4;0;0;0;0;0;0.39;0;0;0
A;Pan Huascarán de Lima;265;1111;37.3;9.4;4.8;46.3;0;0;2.3;0;0;0;4.79;0;0;0;0;0.6;0.17;1.67;0;111
A;Pan integral;339;1419;24.3;9.1;9;55.5;0;0;2.2;0;0;0;5.16;0;0;0;0;0;0.4;0;0;0
A;Pan marraqueta de Chiclayo;321;1342;21;6.4;2.2;68.9;0;0;1.5;0;0;0;6;0;0;0;0;0.92;0.24;5.26;0;219
A;Pan mestizo de Huánuco;399;1668;18.1;9.6;15.7;54.8;0;0;1.9;0;0;0;4.24;0;0;0;0;0.23;0.28;3.83;0;183
A;Pan mishtishongo de Huánuco;410;1715;20.7;9.1;20;48.5;0;0;1.8;0;0;0;2.91;0;0;0;0;1.06;0.29;3.05;0;191
